"Median age (years)"
"HDI Rank (2018)","Country","2015",""
"170","Afghanistan","17.2",""
"69","Albania","34.9",""
"82","Algeria","27.5",""
"149","Angola","16.4",""
"74","Antigua and Barbuda","32.6",""
"48","Argentina","30.5",""
"81","Armenia","33.8",""
"6","Australia","37.2"," a"
"20","Austria","43.2",""
"87","Azerbaijan","30.3"," b"
"60","Bahamas","30.9",""
"45","Bahrain","31.2",""
"135","Bangladesh","25.7",""
"56","Barbados","39",""
"50","Belarus","39.5",""
"17","Belgium","41.3",""
"103","Belize","23.7",""
"163","Benin","18.2",""
"134","Bhutan","25.7",""
"114","Bolivia (Plurinational State of)","24.1",""
"75","Bosnia and Herzegovina","40.7",""
"94","Botswana","23",""
"79","Brazil","31.4",""
"43","Brunei Darussalam","29.9",""
"52","Bulgaria","43.4",""
"182","Burkina Faso","17",""
"185","Burundi","17.1",""
"126","Cabo Verde","25.1",""
"146","Cambodia","23.9",""
"150","Cameroon","18.2",""
"13","Canada","40.4",""
"188","Central African Republic","17.1",""
"187","Chad","16",""
"42","Chile","33.8",""
"85","China","36.7",""
"79","Colombia","29.5",""
"156","Comoros","19.7",""
"138","Congo","18.9",""
"179","Congo (Democratic Republic of the)","16.8",""
"68","Costa Rica","31.2",""
"46","Croatia","43.1",""
"72","Cuba","40.8",""
"31","Cyprus","34.9"," c"
"26","Czechia","41.4",""
"165","Côte d'Ivoire","18.3",""
"11","Denmark","41.6",""
"171","Djibouti","25",""
"89","Dominican Republic","26.5",""
"85","Ecuador","26.5",""
"116","Egypt","24.3",""
"124","El Salvador","25.7",""
"144","Equatorial Guinea","22.1",""
"182","Eritrea","19.2",""
"30","Estonia","41.6",""
"138","Eswatini (Kingdom of)","19.7",""
"173","Ethiopia","18.3",""
"98","Fiji","27",""
"12","Finland","42.5"," d"
"26","France","41.2",""
"115","Gabon","22.3",""
"174","Gambia","17.5",""
"70","Georgia","37.7"," e"
"4","Germany","45.9",""
"142","Ghana","20.7",""
"32","Greece","43.4",""
"78","Grenada","30.6",""
"126","Guatemala","21.3",""
"174","Guinea","17.1",""
"178","Guinea-Bissau","18.4",""
"123","Guyana","25",""
"169","Haiti","22.7",""
"132","Honduras","22.5",""
"4","Hong Kong, China (SAR)","43.2",""
"43","Hungary","41.7",""
"6","Iceland","36",""
"129","India","26.8",""
"111","Indonesia","28.5",""
"65","Iran (Islamic Republic of)","29.7",""
"120","Iraq","20",""
"3","Ireland","36.5",""
"22","Israel","30.2",""
"29","Italy","45.4",""
"96","Jamaica","29",""
"19","Japan","46.4",""
"102","Jordan","22.1",""
"50","Kazakhstan","29.4",""
"147","Kenya","18.9",""
"132","Kiribati","22.3",""
"..","Korea (Democratic People's Rep. of)","34.1",""
"22","Korea (Republic of)","40.8",""
"57","Kuwait","33.5",""
"122","Kyrgyzstan","25.1",""
"140","Lao People's Democratic Republic","22.8",""
"39","Latvia","42.6",""
"93","Lebanon","27.6",""
"164","Lesotho","23",""
"176","Liberia","18.8",""
"110","Libya","27.1",""
"34","Lithuania","42.7",""
"21","Luxembourg","39.3",""
"162","Madagascar","18.7",""
"172","Malawi","17.2",""
"61","Malaysia","28.2"," f"
"104","Maldives","28.6",""
"184","Mali","16",""
"28","Malta","41.1",""
"161","Mauritania","19.6",""
"66","Mauritius","35.6"," g"
"76","Mexico","27.7",""
"135","Micronesia (Federated States of)","22.8",""
"107","Moldova (Republic of)","35.6"," h"
"92","Mongolia","27.1",""
"52","Montenegro","37.7",""
"121","Morocco","27.9",""
"180","Mozambique","17.1",""
"145","Myanmar","27.5",""
"130","Namibia","21.1",""
"147","Nepal","22.2",""
"10","Netherlands","42.1",""
"14","New Zealand","37.3",""
"126","Nicaragua","24.6",""
"189","Niger","14.9",""
"158","Nigeria","17.9",""
"82","North Macedonia","37.4",""
"1","Norway","39.2"," i"
"47","Oman","29",""
"152","Pakistan","21.8",""
"119","Palestine, State of","19.5"," j"
"67","Panama","28.4",""
"155","Papua New Guinea","21.5",""
"98","Paraguay","24.7",""
"82","Peru","27.5",""
"106","Philippines","24.1",""
"32","Poland","39.7",""
"40","Portugal","43.9",""
"41","Qatar","31.5",""
"52","Romania","41.3",""
"49","Russian Federation","38.6",""
"157","Rwanda","19.4",""
"89","Saint Lucia","32.4",""
"94","Saint Vincent and the Grenadines","31.6",""
"111","Samoa","20.9",""
"137","Sao Tome and Principe","18.3",""
"36","Saudi Arabia","30",""
"166","Senegal","18.1",""
"63","Serbia","40.5"," k"
"62","Seychelles","32.8",""
"181","Sierra Leone","18.7",""
"9","Singapore","39.7",""
"36","Slovakia","39.2",""
"24","Slovenia","43",""
"153","Solomon Islands","19.6",""
"..","Somalia","16.2",""
"113","South Africa","26.4",""
"186","South Sudan","18.4",""
"25","Spain","42.5"," l"
"71","Sri Lanka","32.3",""
"168","Sudan","18.9",""
"98","Suriname","27.9",""
"8","Sweden","40.9",""
"2","Switzerland","42.2",""
"154","Syrian Arab Republic","23.6",""
"125","Tajikistan","22",""
"159","Tanzania (United Republic of)","17.6"," m"
"77","Thailand","37.9",""
"131","Timor-Leste","19.6",""
"167","Togo","18.8",""
"105","Tonga","21.9",""
"63","Trinidad and Tobago","33.8",""
"91","Tunisia","31.3",""
"59","Turkey","29.9",""
"108","Turkmenistan","25.6",""
"159","Uganda","15.9",""
"88","Ukraine","40"," n"
"35","United Arab Emirates","32.6",""
"15","United Kingdom","40",""
"15","United States","37.6",""
"57","Uruguay","35",""
"108","Uzbekistan","26.2",""
"141","Vanuatu","20.8",""
"96","Venezuela (Bolivarian Republic of)","27.3",""
"118","Viet Nam","30.5",""
"177","Yemen","19.1",""
"143","Zambia","16.7",""
"150","Zimbabwe","18.4",""
"36","Andorra","..",""
"98","Dominica","..",""
"73","Saint Kitts and Nevis","..",""
